,ID,class0,class1,class2
7812,10013111,0.0897453591724,0.528706464761,0.381548176066
3505,10005925,0.0695534206663,0.652894734578,0.277551844756
4210,10007095,0.0585642058275,0.514636974722,0.42679881945
7949,10013341,0.0760264504597,0.54319474451,0.380778805031
1439,10002489,0.0787931285343,0.516442817214,0.404764054251
2240,10003786,0.100670238718,0.565055480003,0.334274281278
498,10000921,0.077394701808,0.571991092931,0.350614205261
1892,10003215,0.0575857481756,0.481910232767,0.460504019058
5440,10009142,0.137885485607,0.553769224506,0.308345289887
1657,10002830,0.0659916954587,0.557702966066,0.376305338475
3998,10006729,0.0958820787725,0.715956949397,0.18816097183
4532,10007629,0.0546979366887,0.541662358009,0.403639705303
7571,10012695,0.774692545924,0.147903033272,0.0774044208046
4456,10007500,0.053604700951,0.475979285659,0.47041601339
1500,10002590,0.619296537331,0.245867871017,0.134835591652
3974,10006691,0.0723033501387,0.476917670069,0.450778979793
3497,10005910,0.0999619846651,0.575297451051,0.324740564284
4645,10007807,0.0654637408658,0.696761742138,0.237774516997
2538,10004297,0.73450376296,0.197834763871,0.067661473169
711,10001301,0.122870215817,0.611975590777,0.265154193406
5646,10009499,0.0572577218611,0.553370632847,0.389371645292
1406,10002428,0.0935560061823,0.688726893931,0.217717099887
2425,10004103,0.170483178023,0.610554108372,0.218962713605
5,10000132,0.26550261057,0.552277325241,0.182220064189
5725,10009626,0.167667863636,0.630101402016,0.202230734348
9558,10015951,0.0817858071714,0.639997871399,0.27821632143
1160,10001995,0.159708847676,0.558873692893,0.281417459432
7757,10013017,0.1362558322,0.620670103601,0.243074064198
3378,10005700,0.103836257492,0.554245903679,0.341917838829
7637,10012825,0.0411090521768,0.503383938117,0.455507009706
9920,10016561,0.0689086383788,0.541712756416,0.389378605205
4495,10007572,0.757792867659,0.186885295781,0.0553218365603
9165,10015314,0.0762298690446,0.534826906784,0.388943224171
4678,10007870,0.0324196294283,0.467883934819,0.499696435753
8764,10014667,0.10612784768,0.552140776374,0.341731375945
422,10000809,0.0645262613274,0.749745478732,0.185728259941
1311,10002248,0.167910095057,0.610933009028,0.221156895914
7276,10012187,0.688152553953,0.202977409119,0.108870036928
3850,10006481,0.177496309823,0.604523134055,0.217980556121
2160,10003655,0.0756495224944,0.604952273685,0.319398203821
10304,10017174,0.0358332687823,0.607799517443,0.356367213775
797,10001430,0.222895210738,0.59056840037,0.186536388892
3297,10005551,0.0547559232549,0.717961427832,0.227282648913
6896,10011566,0.0420331822435,0.591621109423,0.366345708333
2175,10003677,0.0711904542291,0.698397701382,0.230411844389
97,10000301,0.100034398852,0.622735622444,0.277229978704
5424,10009118,0.0738321101052,0.605527301373,0.320640588522
6557,10011006,0.675263142512,0.232012109964,0.0927247475243
4918,10008259,0.0749930988091,0.670914759467,0.254092141724
5181,10008694,0.673048486672,0.239301552932,0.0876499603967
9320,10015580,0.0920293846604,0.688719238661,0.219251376679
1261,10002162,0.085855531363,0.527537302295,0.386607166342
9762,10016278,0.0630417105682,0.551356377241,0.385601912191
432,10000822,0.667079342982,0.223065541487,0.109855115531
1791,10003053,0.791469131199,0.122816657086,0.0857142117149
4187,10007063,0.0415311231142,0.575537104792,0.382931772094
5912,10009924,0.0665486966315,0.576218206751,0.357233096617
5310,10008908,0.142624485207,0.581845094614,0.275530420179
10233,10017056,0.0492477986066,0.521901573855,0.428850627539
638,10001172,0.0297544578901,0.545290865903,0.424954676206
5623,10009461,0.0514976461568,0.591616854182,0.356885499661
8520,10014278,0.177534977225,0.591261121792,0.231203900983
4820,10008102,0.0899935830361,0.664560497173,0.245445919791
3367,10005681,0.187912628782,0.516527323962,0.295560047256
5063,10008490,0.0965089274087,0.641268320678,0.262222751914
9524,10015895,0.099491578146,0.490611369398,0.409897052456
1274,10002184,0.101608532235,0.691514957695,0.20687651007
2119,10003584,0.0574922958772,0.506095424078,0.436412280045
794,10001425,0.0730912530795,0.649395233257,0.277513513663
3970,10006684,0.197937789358,0.546943364183,0.255118846459
5644,10009497,0.165087074351,0.617163196804,0.217749728844
1277,10002188,0.0735654251562,0.514192748625,0.412241826219
8008,10013433,0.133954540206,0.587038120304,0.279007339489
3444,10005822,0.666499755126,0.244675145882,0.0888250989919
110,10000318,0.196880588858,0.586411205274,0.216708205869
865,10001535,0.0547055858116,0.584203181671,0.361091232518
3123,10005242,0.0937115842037,0.540581288838,0.365707126959
4980,10008356,0.0421794047912,0.560705385481,0.397115209728
291,10000609,0.542083856081,0.254740101032,0.203176042887
2484,10004201,0.0617829907929,0.540525756709,0.397691252498
5046,10008465,0.161232802479,0.650708659502,0.188058538019
4011,10006763,0.225698717645,0.553928882044,0.220372400312
7737,10012991,0.0528027866526,0.553835414717,0.393361798631
5785,10009725,0.118470669085,0.642341847563,0.239187483352
1339,10002302,0.118836465178,0.670874460204,0.210289074618
2101,10003555,0.700250317965,0.21110750201,0.0886421800253
